name,image_link,state,category,latitude,longitude,city
Yosemite National Park,NO_IMAGE_AVAILABLE,CA,National Park,37.8651,-119.5383,Yosemite Valley
Redwood National and State Parks,NO_IMAGE_AVAILABLE,CA,National Park,41.2132,-124.0046,Crescent City
Death Valley National Park,NO_IMAGE_AVAILABLE,CA,National Park,36.5323,-116.9325,Death Valley
Joshua Tree National Park,NO_IMAGE_AVAILABLE,CA,National Park,33.8734,-115.901,Twentynine Palms
Sequoia National Park,NO_IMAGE_AVAILABLE,CA,National Park,36.4864,-118.5658,Three Rivers
Kings Canyon National Park,NO_IMAGE_AVAILABLE,CA,National Park,36.7369,-118.5841,Three Rivers
Lassen Volcanic National Park,NO_IMAGE_AVAILABLE,CA,National Park,40.4977,-121.4207,Mineral
Channel Islands National Park,NO_IMAGE_AVAILABLE,CA,National Park,34.0522,-119.2433,Ventura
Pinnacles National Park,NO_IMAGE_AVAILABLE,CA,National Park,36.4905,-121.1833,Paicines
Golden Gate Bridge,NO_IMAGE_AVAILABLE,CA,Landmark,37.8199,-122.4783,San Francisco
Hollywood Sign,NO_IMAGE_AVAILABLE,CA,Landmark,34.1341,-118.3215,Los Angeles
Alcatraz Island,NO_IMAGE_AVAILABLE,CA,Landmark,37.827,-122.423,San Francisco
Fisherman's Wharf,NO_IMAGE_AVAILABLE,CA,Tourist Attraction,37.808,-122.4177,San Francisco
Disneyland,NO_IMAGE_AVAILABLE,CA,Amusement Park,33.8121,-117.919,Anaheim
Universal Studios Hollywood,NO_IMAGE_AVAILABLE,CA,Amusement Park,34.1381,-118.3534,Los Angeles
Six Flags Magic Mountain,NO_IMAGE_AVAILABLE,CA,Amusement Park,34.4254,-118.5962,Valencia
Knott's Berry Farm,NO_IMAGE_AVAILABLE,CA,Amusement Park,33.8443,-118.0001,Buena Park
Legoland California,NO_IMAGE_AVAILABLE,CA,Amusement Park,33.1286,-117.3119,Carlsbad
Venice Beach,NO_IMAGE_AVAILABLE,CA,Beach,33.985,-118.4695,Los Angeles
Santa Monica Pier,NO_IMAGE_AVAILABLE,CA,Tourist Attraction,34.0083,-118.4977,Santa Monica
Malibu Beach,NO_IMAGE_AVAILABLE,CA,Beach,34.0259,-118.7798,Malibu
La Jolla Cove,NO_IMAGE_AVAILABLE,CA,Beach,32.8328,-117.2713,San Diego
Coronado Beach,NO_IMAGE_AVAILABLE,CA,Beach,32.6859,-117.1831,Coronado
Pismo Beach,NO_IMAGE_AVAILABLE,CA,Beach,35.1428,-120.6413,Pismo Beach
Big Sur,NO_IMAGE_AVAILABLE,CA,Scenic Drive,36.2704,-121.8081,Big Sur
Napa Valley Wine Region,NO_IMAGE_AVAILABLE,CA,Wine Region,38.2975,-122.2869,Napa
Sonoma Valley Wine Region,NO_IMAGE_AVAILABLE,CA,Wine Region,38.2919,-122.458,Sonoma
Paso Robles Wine Region,NO_IMAGE_AVAILABLE,CA,Wine Region,35.6266,-120.691,Paso Robles
Mission San Juan Capistrano,NO_IMAGE_AVAILABLE,CA,Historical Site,33.5017,-117.6626,San Juan Capistrano
Mission San Francisco de Asís,NO_IMAGE_AVAILABLE,CA,Historical Site,37.7648,-122.4269,San Francisco
Mission Santa Barbara,NO_IMAGE_AVAILABLE,CA,Historical Site,34.4383,-119.7148,Santa Barbara
Sutter's Fort,NO_IMAGE_AVAILABLE,CA,Historical Site,38.5816,-121.4944,Sacramento
Bodie Ghost Town,NO_IMAGE_AVAILABLE,CA,Historical Site,38.2121,-119.0131,Bodie
Getty Center,NO_IMAGE_AVAILABLE,CA,Museum,34.0776,-118.475,Los Angeles
LACMA,NO_IMAGE_AVAILABLE,CA,Museum,34.0562,-118.3594,Los Angeles
California Science Center,NO_IMAGE_AVAILABLE,CA,Museum,34.0169,-118.2887,Los Angeles
Exploratorium,NO_IMAGE_AVAILABLE,CA,Museum,37.8024,-122.3976,San Francisco
California Academy of Sciences,NO_IMAGE_AVAILABLE,CA,Museum,37.7694,-122.4662,San Francisco
Monterey Bay Aquarium,NO_IMAGE_AVAILABLE,CA,Aquarium,36.6183,-121.9016,Monterey
Pacific Coast Highway,NO_IMAGE_AVAILABLE,CA,Scenic Drive,36.2704,-121.8081,Various
Lake Tahoe,NO_IMAGE_AVAILABLE,CA,Lake,38.9399,-119.9772,South Lake Tahoe
